"Search Parameters"	"Id"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Mw"	"Ms"	"Mb"	"Ml"	"Mfa"	"Unk"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	9753	-58						3714		"ALBANIA"		130	"ALBANIA:  DYRRACHIUM"	41.3	19.5		6.6		6.6																													
	9754	-50						3728		"GEORGIA"		40	"GEORGIA:  DYOSCURIA [SUKHUMI]"	43	41		5.5		5.5					8								2												2				
	9786	-50						3794		"BULGARIA"		110	"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]"	43.5	28.5																	2												2				
	33	-47	4	17						"CHINA"		30	"CHINA:  GANSU PROVINCE:  LONGXI"	34.9	104.7									9		3						2		3				3						2		3		
	34	-33								"ISRAEL"		140	"ISRAEL:  PALESTINE"	31.2	34.2									9	30000	4											30000	4										
	35	-31	9	2			0			"ISRAEL"		140	"ISRAEL:  QUMRAN,ARIHA (JERICHO)"	32	35.5		7						7									3																
	8197	-27								"EGYPT"		15	"EGYPT:  THEBES"	25.7	32.7																	3												3				
	36	-26								"CHINA"		30	"CHINA:  SICHUAN:  YIBIN"	28.8	104.6		5.5		5.5					7	13	1						2					13	1						2				
	7796	-26						19		"CYPRUS"		130	"CYPRUS"	35	33									9																								
	37	-15					0			"CYPRUS"		130	"CYPRUS:  SALAMIS"	35.2	34																	4																
	38	10					0			"TURKMENISTAN"		40	"TURKMENISTAN:  NISA"	38	58.3	18	7.1						7.1	10								3																
	39	11					0			"TURKEY"		140	"TURKEY"	37.8	27.4									10																								
	40	17								"TURKEY"		140	"TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART"	37.85	27.3									10								3												3				
	41	23					0			"GREECE"		130	"GREECE"	38.2	22.2									10																								
	42	25					0			"PAKISTAN"		60	"PAKISTAN"	33	72																	3																
	43	27					0			"SOUTH KOREA"		30	"SOUTH KOREA:  KWANGJU"	35.9	126.5		6.3						6.3	8								3																
	44	29					0			"TURKEY"		140	"TURKEY:  IZNIK,IZMIT"	40.5	28.9									9								3		3										3		3		
	8178	33								"ISRAEL"		140	"ISRAEL:  PALESTINE"	31.8	35.2																	2												2				
	10265	37	4	9						"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1											3						4						3						4				
	7896	46	10	23						"CHINA"		30	"CHINA:  HENAN PROVINCE:  NANYANG"	33	112.5		6.5		6.5					8		2						2		2				2						2		2		
	46	50								"AFGHANISTAN"		40	"AFGHANISTAN:  AIKHANUM"	37	68.5																	2												2				
	48	52					0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1									9								3																
	49	52					0			"GREECE"		130	"GREECE:  PHILIPPI,DRAMA,KAVALA"	41	24.3																	3																
	50	55					0			"GREECE"		130	"GREECE:  CRETE"	35	25									10																								
	51	57					0			"ALBANIA"		130	"ALBANIA:  DURRES"	41.2	19.3									10																								
	52	60								"TURKEY"		140	"TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]"	37.9	29.2									9								3												3				
	5880	62						23		"GREECE"		130	"GREECE:  CRETE"	35.2	25.1		6.9		6.9					9																								
	53	63								"ITALY"		130	"ITALY:  POMPEI"	40.7	14.5									10																								
	10540	68						5780		"TURKEY"		140	"TURKEY:  DEMRE"	36.217	30.017																																	
	57	76						26		"CYPRUS"		130	"CYPRUS:  PAPHOS, SALAMIS"	34.8	32									10								3		3										3		3		
	58	79	8	24				3093	1348	"ITALY"		130	"ITALY:  NAPLES (NAPOLI)"	40.821	14.426									10													2100	4										
	60	89					0			"SOUTH KOREA"		30	"SOUTH KOREA:  KWANGJU"	35.9	126.5		6.3						6.3	8		3						2		2				3						2		2		
	61	93					0			"TURKEY"		140	"TURKEY:  HELLESPONT"	40.6	26.7											3						3																
	62	100								"SOUTH KOREA"		30	"SOUTH KOREA:  KYONGJU"	35.8	129.2		6.3		6.3					8		3						2		3				3						2		3		
	5882	103						2284		"UKRAINE"		110	"UKRAINE:  BLACK SEA"	44.7	33.3		7						7																									
	63	105								"TURKEY"		140	"TURKEY"	39.5	27									10																								
	9970	109								"TURKEY"		140	"TURKEY:  GALATIA"	40	34																	3		3										3		3		
	64	115	12	13				4396		"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1		7.5		7.5		7.4			11	260000	4						4					260000	4						4				
	9969	120						3096		"TURKEY"		140	"TURKEY: NICOMEDIA, NICAEA"	40.77	29.92		7.2		7.2					9		3						2		3				3						2		3		
	65	123						3583		"SOUTH KOREA"		30	"SOUTH KOREA:  KYONGJU"	35.8	129.2		6.3		6.3					8								1		2										1		2		
	7897	128	2	23						"CHINA"		30	"CHINA:  GANSU PROVINCE:  GANGU"	34.7	105.4		6.5		6.5					8		2						2		2				2						2		2		
	66	138	3	1						"CHINA"		30	"CHINA:  GANSU PROVINCE"	35.8	103.5		6.8		6.8					9		3						3		3				3						3		3		
	5883	142						27		"GREECE"		130	"GREECE:  RHODES"	36.7	28		7	7						8								2		2										3		3		
	7898	143	10							"CHINA"		30	"CHINA:  GANSU PROVINCE"	34.7	105.3		7		7					9		1						1						1						1				
	67	155					0			"GREECE"		130	"GREECE:  DODECANESE ISLANDS"	36.5	28.5	100								10																								
	68	170					0			"GREECE"		130	"GREECE-TURKEY:  VITINIA,HELLESPONT"	39	24.5																	3																
	5884	173	6	28				29		"CHINA"		30	"CHINA:  YELLOW SEA"	37.5	120																																	
	69	177								"TURKEY"		140	"TURKEY: IZMIR, AEGEAN ISLANDS"	38.6	26.65									7		3						2						3						2				
	9757	177						3097		"ITALY"		130	"ITALY:  SICILY"	38	15									9								3												3				
	70	180	9							"CHINA"		30	"CHINA:  GANSU PROVINCE"	39.4	99.5		7.5		7.5					10																								
	71	243					0			"ITALY"		130	"ITALY:  VERONA,BENACO"	45.3	11		5.3						5.3									4																
	72	251	7	9			0			"GREECE"		130	"GREECE:  CRETE"	35.5	25.5									10																								
	73	253	7	9			0			"TURKEY"		140	"TURKEY"	39.1	27.2									10																								
	9984	258						3427		"ITALY"		130	"ITALY:  ROME"	41.9	12.45									8								3	1001	4										3	1001	4		
	8199	262						31		"TURKEY"		140	"TURKEY:  S COASTS; LIBYA"	36.6	30											3						2		3				3						2		3		
	7899	294	7							"CHINA"		30	"CHINA:  ANHUI PROVINCE:  SHOUXIAN"	32.6	116.8		5.5		5.5					7		1												1										
	74	294	9							"CHINA"		30	"CHINA:  BEIJING"	40.3	116		5.5		5.5					7	101	3											101	3										
	75	304					0			"SOUTH KOREA"		30	"SOUTH KOREA:  KYONGJU"	35.5	129.1		6.3						6.3	8		3						2		2				3						2		2		
	76	306					0			"LEBANON"		140	"LEBANON:  SUR (TYRE), SAYDA (SAIDA)"	33.2	35.1									9								3																
	9988	315						32		"ISRAEL"		140	"ISRAEL:  AEROPOLIS"	31.7	35.5																	1												1				
	7900	319	6	17						"CHINA"		30	"CHINA:  GANSU PROVINCE:  XIHE"	34.1	105.3		4.5		4.5							2												2										
	77	324	8	6			0			"ITALY"		130	"ITALY:  CAMPANIA"	40.5	14.5									10																								
	78	334					0			"ALBANIA"		130	"ALBANIA:  DURRES"	41.2	19.3									10																								
	79	340					0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1									9								3																
	80	341					0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1									7																								
	81	342								"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1										40000	4						4					40000	4						4				
	82	342								"ALBANIA"		130	"ALBANIA:  DURRES"	41.3	19.5									10								2												2				
	85	344	4	11						"ITALY"		130	"ITALY:  CAMPANIA"	40.5	14.5									10																								
	83	344								"CHINA"		30	"CHINA:  HENAN PROVINCE"	35.4	114.3										101	3											101	3										
	84	344						35		"TURKEY"		140	"TURKEY:  DARDANELLES"	40.3	26.5									9								3												3				
	9989	346						3474		"ALBANIA"		130	"ALBANIA:  DURRES (DYRRACHIUM)"	41.4	19.4		6.8		6.8					9								2		3										2		3		
	86	348						36		"LEBANON"		140	"LEBANON:  BAYRUT (BEROUTH)"	33.9	35.5									9								3												3				
	87	350	10				0			"TURKEY"		140	"TURKEY"	41	30									10																								
	88	355					0			"TURKEY"		140	"TURKEY:  IZMIT,NICOMEDIA"	40.7	29.7									9								3																
	89	358	8	24				2314		"TURKEY"		140	"TURKEY:  IZNIK, IZMIT [NICOMEDIA]"	40.77	29.9									7		3						3						3						3		3		
	91	361								"MACEDONIA"		130	"BALKANS NW:  MACEDONIA:  STOBI"	41.6	21.5									12								4																
	92	362	5	24				37		"JORDAN"		140	"JORDAN:  AL-KARAK"	31.3	35.6		6.4		6.4													3												3				
	93	362	12	2						"TURKEY"		140	"TURKEY"	41	29.5									10																								
	95	365	7	21				38		"GREECE"		130	"GREECE:  CRETE:  KNOSSOS"	35	23		8		8					11		3						4		3		3	5000	4						4		3		
	98	367	10	11			0			"TURKEY"		140	"TURKEY:  IZNIK,NICAEA"	40.7	29.7										1000	3						3																
	99	368	10	11						"TURKEY"		140	"TURKEY:  NICAEA [IZNIK]"	40	29																	3												3				
	8239	368						3475		"TURKEY"		140	"TURKEY:  MARMARA SEA"	40.5	29.6		6.4		6.4					8								2												2				
	100	369								"ITALY"		130	"ITALY:  BENEVENTO"	41.1	14.8									10																								
	9758	382						4273		"PORTUGAL"		130	"PORTUGAL:  CABO SAN VICENTE:  SW"	36	-10.83		7.5						7.5																									
	101	394					0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1									9								3																
	102	396					0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1									9								3																
	5885	407	4	1				2315		"TURKEY"		140	"TURKEY:  MARMARA SEA"	41	29		6.6		6.6					8								1												1				
	103	412								"TUNISIA"		15	"TUNISIA:  UTIQUE"	37.067	10.067									10																								
	104	419								"ISRAEL"		140	"ISRAEL:  PALESTINE"	31.2	34.2																	3																
	106	425								"ISRAEL"		140	"ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT"	31.9	34.9									10								3												3				
	109	427					0			"AZERBAIJAN"		40	"AZERBAIJAN"	40.5	46.5	12	6.7						6.7	10								3																
	110	438					0			"GREECE"		130	"GREECE:  CRETE"	35.5	25.5									10																								
	112	440	10	26			0			"TURKEY"		140	"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	41	29									7								3																
	5887	447	1	26				41		"TURKEY"		140	"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.9	28.5		7.3		7.3					9		3						3		3				3						3		3		
	114	448	9	6			0			"GREECE"		130	"GREECE:  CRETE"	35	25									10																								
	9972	450						4294		"TURKEY"		140	"INSTANBUL (CONSTANTINOPLE)"	40.4	28.4									5																								
	115	457								"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1									10								4												4				
	116	458	9							"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1									9	80000	4						3					80000	4						3				
	117	460	7	22						"THAILAND"		60	"THAILAND:  YONOK-NAGABANDHU"	20.3	100									12		3						3						3						3				
	118	470					0			"FRANCE"		120	"FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ"	44.4	4.3																	3																
	119	477	9	25			0			"TURKEY"		140	"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	41	29									10		3						3																
	5888	478	9	25				2317		"TURKEY"		140	"TURKEY:  MARMARA SEA"	40.8	29.2		7.2		7.2					9																								
	121	494					0			"LEBANON"		140	"LEBANON:  TARABULUS (TRIPOLIS); SYRIA"	34.3	35.5									10								3																
	8090	499	8	4						"CHINA"		30	"CHINA:  JIANGSU PROVINCE"	32.1	118.8									6								2		3										2		3		
	122	500					0			"KAZAKHSTAN"		40	"KAZAKHSTAN"	42.7	76.5	20	6.7						6.7	8								3																
	123	501								"NORTH KOREA"		30	"NORTH KOREA:  PYONGYANG"	39	125.3		6.3						6.3	8		3						2																
	124	510					0			"SOUTH KOREA"		30	"SOUTH KOREA:  KYONGJU"	35.5	129.1		6.3						6.3	8		3						2		2				3						2		2		
	125	512	5	21						"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  YINGXIAN"	39.4	113.3		7.5		7.5					10	5130	4			2720	4		4					5130	4			2720	4		4				
	126	518								"MACEDONIA"		130	"BALKANS NW:  MACEDONIA:  SKOPJE, STAMER"	42	21.4									12								4																
	128	521					0			"GREECE"		130	"GREECE:  DURRES,KORINTHOS"	39.6	21.2																	3																
	129	522					0			"SYRIA"		140	"SYRIA"	36.2	36.1									10								3																
	130	522					0			"ALBANIA"		130	"ALBANIA:  DURRES"	41.2	19.3									10																								
	131	525	5	29						"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG"	36.25	36.1		7		7					9	250000	4						4					250000	4						4				
	132	527					0			"GREECE"		130	"GREECE-ALBANIA"	40.1	20.8									10																								
	134	528	11	29						"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.25	36.1		7.1		7.1					10	4870	4						4					4870	4						4				
	136	533	11	29						"SYRIA"		140	"SYRIA:  ALEPPO"	36.2	37.2										130000	4											130000	4										
	5889	543						43		"TURKEY"		140	"TURKEY:  CYZICUS"	40.3	27.8		6.8		6.8					10								3						3						3				
	10058	551	4					46		"GREECE"		130	"GREECE:  MALIAKOS GULF"																																			
	138	551	7	7				5586		"GREECE"		130	"GREECE:  SCHISMA, BOETIA"	38.4	22.3		7.1		7.1					9	5000	4						4		4			5000	4						4		4		
	139	551	7	9				47		"LEBANON"		140	"LEBANON:  BAYRUT (BEIRUT); EGYPT; IRAQ;SAUDI ARABIA"	33.9	35.5		7.3						7.3	10		4						4						4						4				
	140	552	7	9			0			"SYRIA"		140	"SYRIA:  HALAB (ALEPPO); TURKEY:  ANTAKYA (ANTIOCH)"	36.1	37.1									10								3																
	141	553	7	9			0			"LEBANON"		140	"LEBANON:  BAYRUT (BEIRUT)"	33.9	35.5									10								3																
	5892	554	8	15				48		"GREECE"		130	"GREECE: KOS"	36.8	27.3		7		7							3						2		2		2		3						2		2		2
	143	555	8	15				3785		"TURKEY"		140	"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	41.04	28.98									10																								
	145	557	7	9						"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1									10								3		3										3		3		
	5893	557	10	14						"TURKEY"		140	"TURKEY:  MARMARA SEA"	40.9	27.6																																	
	9971	557						2286		"TURKEY"		140	"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.9	27.6		7		7					9																								
	146	558	12	14				49		"TURKEY"		140	"TURKEY"	40.9	28.8		7		7					9																								
	147	558	12	25						"ITALY"		130	"ITALY:  ANCONA"	43.6	13.5									10								3												3				
	148	565					0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1										30000	4																						
	149	567					0			"SLOVENIA"		130	"BALKANS NW:  SLOVENIA"	45.6	15.3									10																								
	150	579					0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36	36																	3																
	151	581	7	9			0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1									9								3																
	152	587	9	30						"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36.25	36.1									9	60000	4						4					60000	4						4				
	154	600	12	13						"CHINA"		30	"CHINA:  SHAANXI PROVINCE"	34.3	108.9									7	101	3						2		3			101	3						2		3		
	155	614					0			"ITALY"		130	"ITALY"	41	15										1000	3						3																
	156	634								"ISRAEL"		140	"ISRAEL: JERUSALEM; PALESTINE"	32	35.5									8								3												3				
	158	649	9	12						"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  LINFEN"	36.1	111.5		5.5		5.5					7	50	1						2		2			50	1						2		2		
	159	662	4	26			0			"IRAN"		140	"IRAN:  QUMIS:  SEMNAN,DAMGHAN"	35.3	54										40000	4						3																
	160	664	9	12			0			"SOUTH KOREA"		30	"SOUTH KOREA:  KYONGJU"	35.5	129.1		6.3						6.3	8								3																
	161	678					0			"IRAQ"		140	"IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS"	35	43.5									7								3																
	162	684	11	29				53		"JAPAN"		30	"JAPAN"	32.5	134		8.4		8.4							3						3						3						3				
	163	688								"TURKEY"		140	"TURKEY:  IZMIR"	38.4	27.2									9	2000	4						3																
	5894	701	5	12				54		"JAPAN"		30	"JAPAN:  KYOTO PREFECTURE"	35.7	135.4		7		7																													
	5895	704	8	2				55		"JAPAN"		30	"JAPAN:  KUMANONADA"	33.8	136.7		7		7																													
	166	713	3	20						"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36	36									7								3																
	167	715					0			"TURKEY"		140	"TURKEY:  IZNIK"	40.4	28.9									9								2																
	168	716	8	25			0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36	36																	2																
	10666	720	10					5874		"UK"		120	"UNITED KINGDOM: SCOTLAND: HEBRIDES"	56.33	-6.41																																	
	169	734	3	19						"CHINA"		30	"CHINA:  GANSU PROVINCE:  TIANSHUI"	34.6	105.6		7		7					9	101	3						2		3			101	3						2		3		
	170	735	6	21			0			"ARMENIA"		40	"ARMENIA:  BAYOTSDZOR"	39.7	45.5	16	5.8						5.8	8								2																
	171	740	10	26				56		"TURKEY"		140	"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.7	29.3		7.3		7.3					9		3						3		3				3						3		3		
	172	742								"SYRIA"		140	"SYRIA;  ISRAEL; ASIA"	35	38											3						3																
	173	743								"IRAN"		140	"IRAN:  EIVAN-E-KAY"	35.3	52.2		7.2		7.2					9								3												3				
	174	743								"RUSSIA"		40	"RUSSIA:  CASPIAN SEA"	42.1	48.2	20	5.5		5.5					7								1												1				
	9810	744	6	30				57		"JAPAN"		30	"JAPAN:  SHIMABARA, YATSUSHIRO, HIGO"	32.4	130.5		6.4		6.4																		1520	4						2	470	3		
	175	745	6	5						"JAPAN"		30	"JAPAN:  MINO"	35.5	136.9		7.9		7.9													3												3				
	5896	745	6	9				58		"JAPAN"		30	"JAPAN: OSAKA BAY"	34.6	135.3		6.5		6.5																			3										
	177	746	1	18			0	59		"ISRAEL"		140	"ISRAEL:  TEVERYA (TIBERIAS), ARIHA (JERICHO)"	32	35.5		7						7	11		3						3						3						3				
	178	748	8	31						"SYRIA"		140	"SYRIA:  DIMASHQ (DAMASCUS)"	33.5	36.3																	2																
	180	749	1	25						"IRAQ"		140	"IRAQ:  JAZIRAH:  NE OF THARTHAR RIVER"	35	43.5									10								3																
	181	758								"ISRAEL"		140	"ISRAEL:  PALESTINE; SYRIA:  HALAB; TURKEY:  ANTAKYA"	31.2	34.2									7								2																
	183	763								"IRAN"		140	"IRAN:  KHURASAN"	33.3	59.3		7.6		7.6																													
	7341	766	7	20				61	844	"JAPAN"		30	"JAPAN:  N. KAGOSHIMA BAY"	31.6	130.7		6.5						6.5															3										
	185	777								"CHINA"		30	"CHINA:  HEBEI PROVINCE:  SHULU, NINGJIN"	37.8	115.2									8	200	3						2		3			200	3						2		3		
	187	778								"ITALY"		130	"ITALY:  TREVISO"	45.4	12.2		5.6						5.6		48	1						2																
	7901	778								"CHINA"		30	"CHINA:  HUNAN PROVINCE: HOANG KIN CHAN"	28.1	111.4											3												3										
	188	780					0			"SOUTH KOREA"		30	"SOUTH KOREA:  KYONGJU"	35.5	129.1		6.3						6.3	8	100	3						2		2			100	3						2		2		
	190	788	3	8						"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  ANKANG, FANGXIAN"	32.5	109.4		6.5		6.5					8								2		3										2		3		
	192	793	4	30			0			"ITALY"		130	"ITALY:  VERONA"	45.5	11		6						6	9		3						3						3						3				
	193	796	4	7			0			"GREECE"		130	"GREECE:  CRETE"	35	25	100								10																								
	196	801	4	30	1					"ITALY"		130	"ITALY:  ROMA (ROME)"	41.9	12.6									10								3		3										3		3		
	198	802	5	31			0			"ITALY"		130	"ITALY:  PADOVA"	45.4	11.9									10																								
	5897	803	12	19				64		"TURKEY"		140	"TURKEY: GULF OF ISKENDERUN"	36.95	35.6																	1												1				
	199	811								"UK"		120	"UNITED KINGDOM:  SCOTLAND:  ST ANDREWS"	56.3	-2.8										1400	4						3		3		3	1400	4						3		3		
	200	814	4	2						"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  XICHANG"	27.9	102.2		7		7						101	3						1					101	3						1				
	202	818	5	15						"AFGHANISTAN"		40	"AFGHANISTAN; INDIA:  HINDU-KUSH; KAZAHKSTAN:  BALKHA"	36.8	66.2	50	7.5		7.5					8		3						3						3						3				
	5898	818	8					66		"JAPAN"		30	"JAPAN:  TOKKAIDO"	35.2	139.3		7.9		7.9							3						2						3						2				
	205	820	8	19						"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  FAN CHONG"	37.4	112.6										20	1											20	1										
	206	835	1	5			0			"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36	36									9								3																
	207	838	11	23			0			"UZBEKISTAN"		40	"UZBEKISTAN:  FERGANA"	40.4	71.3										15000	4						4																
	8262	842	10	24				67		"UK"		120	"UNITED KINGDOM:  CHANNEL ISLANDS; GAUL"	49.5	-2.5																	1												1				
	208	844	9	18			0			"SYRIA"		140	"SYRIA:  DIMASHQ (DAMASCUS); TURKEY:  ANTAKYA"	33.5	36.3									8	50000	4						4																
	209	845	9	6			0			"IRAQ"		140	"IRAQ:  AL-MAWSIL"	36.2	43.1										50000	4																						
	210	846								"TURKEY"		140	"TURKEY:  ANTAKYA; LEBANON:  HIMS; IRAQ:  MOSUL"	36.1	36.1									8								3												3				
	215	847	6							"ITALY"		130	"ITALY:  MOLISE, ISERNIA"	41.6	14.2									10								3												3				
	216	847	11	24						"SYRIA"		140	"SYRIA:  DIMASHQ (DAMASCUS)"	33.5	36.3																	2												2				
	211	847								"IRAQ"		140	"IRAQ:  AL-MAWSIL"	36.21	42.08									10	70000	4						3					70000	4						3				
